,,0,1,2,1,2,1,4,1,1,2,1,1,0,0,1,0,2,2,0,2,0,1,2,2,1,3,0,1,0,3,2,0,0,1,2,5,3,1,1,0,1,0,3,2,0
-LRB-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
-RRB-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
:,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,2,0,0,1,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,1,5,4,1,4,1,2,2,6,1,3,2,2,5,3,3,2,3,2,6,4,1,3,1,6,3,2,4,0,4,4,2,1,6,2,7,2,1,0,2,1,1,5,4,0
adverb,1,1,0,0,2,0,0,0,2,2,1,1,0,0,0,0,1,6,1,0,1,0,1,2,2,4,0,3,0,1,2,2,3,1,0,3,1,0,0,0,2,1,3,2,0
article,2,4,9,2,5,4,1,4,2,6,7,5,3,6,5,3,2,4,4,8,2,1,5,3,4,5,3,4,0,6,7,1,1,4,2,6,2,5,2,4,1,1,7,2,0
conjunction,2,4,7,7,8,7,7,4,5,4,8,7,1,5,7,3,6,8,6,7,2,4,5,4,4,8,5,4,2,17,6,4,1,7,1,5,3,6,3,6,4,1,7,6,0
noun,8,8,17,10,15,10,13,7,13,11,12,9,3,5,12,3,6,11,8,11,4,7,9,3,8,12,6,6,3,20,14,5,1,8,1,11,5,11,5,6,9,2,13,4,0
numeral,2,1,0,0,2,0,0,1,1,0,1,3,0,0,0,0,1,1,0,0,1,1,1,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,2,0,0
other,1,0,1,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,1,0,1,2,0,0,0,1,0,1,1,0
particle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,0,3,0,1,0,2,1,2,0,0,0,0,1,1,1,0,0,0,0,1,2,0,2,0,0,1,0,2,0,0,0,1,0,0,7,0,2,1,2,0,4,1,0
verb,2,2,7,4,1,1,2,3,6,8,1,7,1,1,3,1,4,6,1,5,2,2,5,1,5,5,2,6,2,5,2,2,3,6,1,4,7,7,4,2,7,1,7,4,0
