'',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,1,1,2,4,2,3,1,1,5,8,1,1,0,1,3,1,3,4,6,3,1,0,6,1,2,3,2,3,4,0,5,2,3,5,8,5,2,1,6,5,2,1,4,3,0,2,0,4,2,3,3,0,5,1,1,2,2,2,2,0,0,4,4,1,5,4,1,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,2,2,1,1,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0,0
PRP$,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,1,1,1,0,0,0,0,0,1,2,0,0,1,4,2,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
RBR,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
adjective,0,2,0,0,1,4,2,2,5,1,3,1,4,1,4,3,6,6,4,2,1,3,0,3,6,1,4,1,2,1,3,2,1,3,5,0,5,3,3,6,0,0,1,4,8,0,1,3,3,1,2,1,0,2,1,1,2,1,8,1,1,0,8,0,0,6,4,1,0
adverb,1,1,1,3,3,1,4,1,2,6,2,0,3,0,2,1,3,2,2,0,1,1,1,4,1,1,2,2,0,1,3,0,0,1,3,1,3,0,1,1,3,0,2,4,3,1,2,0,1,2,3,2,1,1,1,1,0,3,4,2,1,1,5,1,0,1,2,5,0
article,2,2,1,0,3,5,7,1,3,7,6,0,8,0,1,2,5,11,5,5,1,3,1,3,3,2,6,7,2,3,3,6,1,4,9,2,5,2,1,9,4,3,3,2,9,4,3,3,6,7,3,5,2,8,1,3,7,4,8,5,5,0,8,0,1,5,5,0,0
conjunction,1,6,0,2,4,5,7,2,6,8,12,1,6,1,2,2,9,11,6,8,3,7,2,10,4,4,5,5,2,5,6,11,5,5,9,6,8,4,4,9,5,2,2,3,13,3,1,7,9,6,7,6,1,6,2,4,12,4,8,5,6,1,9,2,3,4,3,4,0
noun,3,3,1,2,7,9,13,1,4,11,15,2,7,4,2,5,8,16,12,9,5,8,1,9,7,4,10,12,5,8,11,16,7,7,12,13,12,8,3,16,10,5,6,13,16,5,5,13,10,11,6,9,1,13,5,6,10,4,12,5,6,2,17,5,3,6,6,1,0
numeral,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,1,0,0,0,1,0,1,1,0,0,4,0,2,0,1,1,2,2,2,1,1,1,0,1,0,0,2,1,1,1,2,0,1,1,0,1,2,0,0,6,5,0,1,1,0,1,1,1,0,1,4,1,0,0,0,0,0,1,3,1,1,0,2,1,1,3,0,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,2,0,1,1,2,0,3,2,4,2,5,0,0,0,2,2,5,0,1,2,1,1,1,1,1,1,6,0,1,1,0,1,1,0,1,1,4,3,1,1,2,0,1,1,5,1,1,2,1,5,7,2,0,3,0,0,5,4,5,4,3,0,1,2,1,0,0,2,0
verb,2,2,2,3,9,3,4,4,6,12,8,1,7,1,6,2,10,12,2,5,2,4,3,6,4,4,11,6,6,3,2,6,3,5,7,4,11,4,3,8,8,1,3,3,8,4,5,4,4,6,12,8,4,7,1,1,3,7,7,10,7,1,5,2,3,4,1,7,0
